from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
VIE,Austria,IST,Turkey,Airbus A319|Airbus A321neo|Airbus A321,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-04-30 09:10:00,2022-04-30 21:15:00,665,2,366.0,USD,333000.0,143000.0,133%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A330,TK,[Turkish Airlines],TK7991|TK7991,2022-04-30 16:30:00,2022-05-01 14:05:00,1235,1,377.0,USD,256000.0,143000.0,79%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A330,TK,[Turkish Airlines],TK7991|TK7991,2022-04-30 16:30:00,2022-05-01 16:25:00,1375,1,377.0,USD,256000.0,143000.0,79%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A320,TK,[Turkish Airlines],TK7991|TK7991,2022-04-30 16:30:00,2022-05-01 20:10:00,1600,1,377.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo|Airbus A321,multi,[Austrian| Lufthansa],OS223|OS223|OS223,2022-04-30 07:00:00,2022-04-30 21:15:00,795,2,397.0,USD,366000.0,143000.0,156%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A319|Airbus A320,multi,[Austrian| Lufthansa],OS291|OS291|OS291,2022-04-30 07:30:00,2022-04-30 17:00:00,510,2,402.0,USD,375000.0,143000.0,162%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A319|Airbus A321,multi,[Austrian| Lufthansa],OS291|OS291|OS291,2022-04-30 07:30:00,2022-04-30 21:15:00,765,2,402.0,USD,387000.0,143000.0,171%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A321,TK,[Turkish Airlines],TK7991|TK7991,2022-04-30 16:30:00,2022-05-01 09:40:00,970,1,406.0,USD,270000.0,143000.0,88%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A321neo|Airbus A320,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-04-30 06:25:00,2022-04-30 17:00:00,575,2,414.0,USD,322000.0,143000.0,125%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A321|Airbus A320,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-04-30 06:25:00,2022-04-30 17:00:00,575,2,414.0,USD,333000.0,143000.0,133%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A321neo|Airbus A320,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-04-30 06:25:00,2022-04-30 17:00:00,575,2,414.0,USD,340000.0,143000.0,137%,2022-04-29 17:52:59
